Date,BTC / USD,Daily On-Chain Transaction Volume in Profit,Daily On-Chain Transaction Volume in Loss,Social Volume (get in),Social Volume (to the moon),Social Volume (i missed it)
2023-03-19T00:00:00.000Z,28032.02225,160474.4906,93384.53898,17845,36973,25376
2023-03-20T00:00:00.000Z,27750.55939,252655.5589,148886.123,18971,40205,27113
2023-03-21T00:00:00.000Z,28173.48712,177513.1733,125918.4069,18058,38834,25974
2023-03-22T00:00:00.000Z,27313.93797,203290.6631,141553.5355,21153,45677,30124
2023-03-23T00:00:00.000Z,28333.97271,204156.0752,139643.0259,18975,42140,28557
2023-03-24T00:00:00.000Z,27493.28514,181935.5749,187461.5537,20133,42376,27853
2023-03-25T00:00:00.000Z,27494.70688,96805.77168,114698.5333,15346,32827,22693
2023-03-26T00:00:00.000Z,27994.32951,103702.981,68641.18745,15025,32086,21992
2023-03-27T00:00:00.000Z,27139.88853,115636.9331,143782.2276,17169,36600,24108
2023-03-28T00:00:00.000Z,27268.13148,132846.9267,152946.7448,16826,36515,23899
2023-03-29T00:00:00.000Z,28348.44234,195653.0207,86533.34217,18479,39353,25485
2023-03-30T00:00:00.000Z,28033.56315,221609.5813,154998.1173,17279,37220,24880
2023-03-31T00:00:00.000Z,28478.48461,195398.5294,130301.0076,16956,36340,24102
2023-04-01T00:00:00.000Z,28462.94389,116091.343,84345.98314,13755,29273,20169
2023-04-02T00:00:00.000Z,28199.30838,74054.68494,86825.29095,14467,30884,21350
2023-04-03T00:00:00.000Z,27790.22085,111434.3762,145088.9512,16757,36179,24286
2023-04-04T00:00:00.000Z,28168.08982,177021.1448,129450.5797,18568,37899,24609
2023-04-05T00:00:00.000Z,28177.98356,202641.327,160671.9753,16997,35714,24219
2023-04-06T00:00:00.000Z,28044.13975,127064.7074,165821.6291,16479,34475,23058
2023-04-07T00:00:00.000Z,27925.85941,77503.29866,113087.7751,15700,32322,21421
2023-04-08T00:00:00.000Z,27947.79455,77001.55228,76515.71754,13327,27042,18104
2023-04-09T00:00:00.000Z,28333.05005,73654.41593,65874.60437,13187,27160,18408
2023-04-10T00:00:00.000Z,29645.18719,186325.1595,74151.34133,15271,31812,21127
2023-04-11T00:00:00.000Z,30241.60458,272524.6693,91690.28205,15872,34436,23173
2023-04-12T00:00:00.000Z,29889.45346,212432.4062,208518.8033,15598,33069,22087
2023-04-13T00:00:00.000Z,30399.06639,189845.6756,86272.45339,15371,33022,22431
2023-04-14T00:00:00.000Z,30497.83117,235550.8285,100879.7502,15828,34138,23128
2023-04-15T00:00:00.000Z,30323.90147,97180.43869,109384.3066,13726,29110,19623
2023-04-16T00:00:00.000Z,30313.55978,83314.5678,77744.07696,13008,27281,18612
2023-04-17T00:00:00.000Z,29433.48487,115839.1628,197715.9075,14640,30798,20228
2023-04-18T00:00:00.000Z,30392.63205,162394.1467,86311.45454,15317,33014,21787
2023-04-19T00:00:00.000Z,28809.41401,97232.32531,149567.9914,16023,33593,21976
2023-04-20T00:00:00.000Z,28245.98731,91671.09001,194801.6121,15926,32100,21161
2023-04-21T00:00:00.000Z,27276.90969,91057.1898,232341.4335,14176,30011,20154
2023-04-22T00:00:00.000Z,27818.73329,87122.99029,93212.19108,12493,25952,17609
2023-04-23T00:00:00.000Z,27591.38463,76097.07158,84906.58044,13409,27131,18670
2023-04-24T00:00:00.000Z,27525.3395,92818.5863,125800.1816,15408,31793,21736
2023-04-25T00:00:00.000Z,28307.59809,116120.4393,115626.7731,17445,35084,22543
2023-04-26T00:00:00.000Z,28422.70088,166874.8828,84839.97106,15663,33837,21980
2023-04-27T00:00:00.000Z,29473.78618,137728.4674,77887.50949,14877,30860,20752
2023-04-28T00:00:00.000Z,29340.2625,114364.4603,88659.37863,16828,33319,20909
2023-04-29T00:00:00.000Z,29248.48837,82012.51406,76285.08555,11744,24372,16203
2023-04-30T00:00:00.000Z,29268.80704,80598.8825,61529.52158,12702,25929,17384
2023-05-01T00:00:00.000Z,28091.5688,84138.06464,141043.7987,14693,30523,20584
2023-05-02T00:00:00.000Z,28680.53697,115065.3079,96915.73702,15552,32451,21541
2023-05-03T00:00:00.000Z,29006.30767,99523.31832,126848.7187,14940,31682,20908
2023-05-04T00:00:00.000Z,28847.71159,140461.4334,121678.4495,14314,29827,19302
2023-05-05T00:00:00.000Z,29534.38402,150492.5165,82612.62407,17041,34197,21266
2023-05-06T00:00:00.000Z,28904.62395,64433.57787,100603.0529,12093,24953,17112
2023-05-07T00:00:00.000Z,28454.97829,229177.6333,71681.86627,12492,26108,17533
2023-05-08T00:00:00.000Z,27694.2729,73693.10997,148939.1631,14720,32397,20427
2023-05-09T00:00:00.000Z,27658.77467,88464.46971,134974.5815,14029,29525,19570
2023-05-10T00:00:00.000Z,27621.75623,108624.8844,153461.0618,14645,30643,19993
2023-05-11T00:00:00.000Z,27000.78827,83212.45506,166691.539,14256,29985,19692
2023-05-12T00:00:00.000Z,26804.99067,97104.34191,174977.7316,13648,28331,18120
2023-05-13T00:00:00.000Z,26784.07856,65733.79034,55028.30326,11283,23106,15855
2023-05-14T00:00:00.000Z,26930.63785,61158.05255,67382.61834,10820,22114,15054
2023-05-15T00:00:00.000Z,27192.69322,144256.4883,123924.007,13166,26755,17437
2023-05-16T00:00:00.000Z,27036.65071,102808.8225,138486.5913,18069,35385,22193
2023-05-17T00:00:00.000Z,27402.13327,112984.9429,111195.5541,14035,29954,19501
2023-05-18T00:00:00.000Z,26832.2093,85703.50387,117432.0011,14742,31596,20768
2023-05-19T00:00:00.000Z,26890.12824,94961.77268,117245.725,15245,31724,20849
2023-05-20T00:00:00.000Z,27129.58626,61154.56066,49918.27735,12771,26037,17681
2023-05-21T00:00:00.000Z,26753.82564,47414.96591,60091.65368,13399,27873,18534
2023-05-22T00:00:00.000Z,26851.27763,101464.6223,96296.26598,17435,34993,21618
2023-05-23T00:00:00.000Z,27225.72659,151473.2129,102834.1483,15838,32529,20779
2023-05-24T00:00:00.000Z,26334.81821,61432.85152,153578.3993,14983,31249,20529
2023-05-25T00:00:00.000Z,26476.20753,135317.3113,119870.7108,14329,29801,19510
2023-05-26T00:00:00.000Z,26719.29098,123665.9248,100843.8297,13175,26804,17246
2023-05-27T00:00:00.000Z,26868.35382,82798.05038,62056.72683,12600,23990,15681
2023-05-28T00:00:00.000Z,28085.64736,107054.9375,43683.27713,11267,22786,15324
2023-05-29T00:00:00.000Z,27745.88444,124728.9479,106246.8623,13051,26238,17113
2023-05-30T00:00:00.000Z,27702.34877,153759.4854,101668.9607,12980,26198,17002
2023-05-31T00:00:00.000Z,27219.65861,132535.2934,151318.9537,15570,31379,20290
2023-06-01T00:00:00.000Z,26819.97322,124176.6141,151595.3314,13458,27534,17640
2023-06-02T00:00:00.000Z,27249.58895,147587.9076,131062.9226,14040,28233,17782
2023-06-03T00:00:00.000Z,27075.1294,87081.36778,111360.7534,11230,22120,15072
2023-06-04T00:00:00.000Z,27119.06719,105469.8234,75603.28653,10993,21718,15146
2023-06-05T00:00:00.000Z,25760.097,107148.6959,233087.4246,14103,29244,17617
2023-06-06T00:00:00.000Z,27238.78373,178612.6236,129562.0786,15127,32456,19427
2023-06-07T00:00:00.000Z,26345.99885,103003.5971,180032.0939,14680,31146,19114
2023-06-08T00:00:00.000Z,26508.2159,115809.4436,136144.9708,13827,28656,17828
2023-06-09T00:00:00.000Z,26480.37509,104097.6631,116134.0341,13143,27730,17681
2023-06-10T00:00:00.000Z,25851.241,84630.13902,134516.7699,13828,29447,19776
2023-06-11T00:00:00.000Z,25940.16808,124575.6426,138158.1243,11550,23505,15633
2023-06-12T00:00:00.000Z,25902.49987,165333.9912,182917.3735,9631,19248,12043
2023-06-13T00:00:00.000Z,25918.7284,140157.434,158847.8101,9053,18692,11633
2023-06-14T00:00:00.000Z,25124.67668,140059.6547,145095.6015,10972,23553,14919
2023-06-15T00:00:00.000Z,25576.39401,137086.6419,224230.4193,8618,17083,10214
